activity_id,activity_date,rep_id,account_id,opportunity_id,activity_type,outcome,notes
ACT-0001,18/08/2024,REP-001,ACC-030,OPP-001,Call,Connected,Budget discussion — CFO joining.
ACT-0002,28/08/2024,REP-001,ACC-030,OPP-001,Meeting,Demo Scheduled,Price concern raised.
ACT-0003,2024-07-20,REP-001,ACC-030,OPP-001,Email,No Reply,Sent follow-up email.
ACT-0004,23/07/2024,REP-001,ACC-030,OPP-001,Meeting,,Escalated to regional VP.
ACT-0005,2026-01-23,REP-001,ACC-033,OPP-002,LinkedIn,Connected,Demo rescheduled.
ACT-0006,2026-01-16,REP-001,ACC-033,OPP-002,Email,Replied,Escalated to regional VP.
ACT-0007,18/01/2024,REP-001,ACC-036,OPP-003,Meeting,No Show,
ACT-0008,2024-03-20,REP-001,ACC-036,OPP-003,Meeting,Demo Scheduled,Demo rescheduled.
ACT-0009,2024-03-11,REP-001,ACC-036,OPP-003,Demo,,
ACT-0010,21/07/2024,REP-001,ACC-033,OPP-004,LinkedIn,,
ACT-0011,20/08/2024,REP-001,ACC-033,OPP-004,LinkedIn,No Reply,POC requested.
ACT-0012,2024-07-07,REP-001,ACC-033,OPP-004,Email,No Reply,
ACT-0013,2024-06-19,REP-001,ACC-033,OPP-004,Email,Replied,Price concern raised.
ACT-0014,29/08/2024,REP-001,ACC-030,OPP-005,Email,Meeting Booked,Left voicemail.
ACT-0015,23/06/2024,REP-001,ACC-030,OPP-005,Email,No Reply,Budget discussion — CFO joining.
ACT-0016,2024-07-03,REP-001,ACC-030,OPP-005,Email,No Reply,Budget discussion — CFO joining.
ACT-0017,15/06/2024,REP-001,ACC-030,OPP-005,Meeting,Demo Scheduled,
ACT-0018,21/06/2024,REP-001,ACC-033,OPP-006,Email,No Reply,Competitor mentioned (Expensify).
ACT-0019,21/06/2024,REP-001,ACC-033,OPP-006,Demo,Proposal Requested,POC requested.
ACT-0020,2024-07-10,REP-001,ACC-033,OPP-006,Meeting,No Show,Champion confirmed.
ACT-0021,17/06/2024,REP-001,ACC-033,OPP-006,LinkedIn,,Left voicemail.
ACT-0022,03/08/2024,REP-001,ACC-031,OPP-007,Demo,Proposal Requested,Decision delayed to next quarter.
ACT-0023,28/06/2024,REP-001,ACC-031,OPP-007,Meeting,Demo Scheduled,Budget discussion — CFO joining.
ACT-0024,2024-08-16,REP-001,ACC-031,OPP-007,Meeting,No Show,Sent follow-up email.
ACT-0025,2024-06-19,REP-001,ACC-036,OPP-008,Call,No Answer,POC requested.
ACT-0026,13/07/2024,REP-001,ACC-036,OPP-008,LinkedIn,,Price concern raised.
ACT-0027,2024-08-26,REP-002,ACC-031,OPP-009,Call,No Answer,Demo rescheduled.
ACT-0028,14/08/2024,REP-002,ACC-031,OPP-009,Email,,Multi-threaded — 3 contacts.
ACT-0029,23/02/2025,REP-002,ACC-038,OPP-010,Demo,Proposal Requested,
ACT-0030,23/01/2025,REP-002,ACC-038,OPP-010,Call,Meeting Booked,
ACT-0031,2025-02-01,REP-002,ACC-038,OPP-010,Meeting,Demo Scheduled,
ACT-0032,16/06/2025,REP-002,ACC-031,OPP-011,Meeting,No Show,Multi-threaded — 3 contacts.
ACT-0033,2025-04-22,REP-002,ACC-031,OPP-011,Email,Meeting Booked,
ACT-0034,2025-05-25,REP-002,ACC-031,OPP-011,Meeting,Follow-up Booked,POC requested.
ACT-0035,2025-04-13,REP-002,ACC-031,OPP-011,Call,,Strong product interest.
ACT-0036,2025-05-01,REP-002,ACC-038,OPP-012,Email,No Reply,Left voicemail.
ACT-0037,29/05/2025,REP-002,ACC-038,OPP-012,Call,Connected,POC requested.
ACT-0038,12/05/2025,REP-002,ACC-038,OPP-012,Email,Replied,Multi-threaded — 3 contacts.
ACT-0039,2025-04-28,REP-002,ACC-038,OPP-012,Meeting,Demo Scheduled,Strong product interest.
ACT-0040,2024-07-14,REP-002,ACC-034,OPP-013,LinkedIn,No Reply,Competitor mentioned (Expensify).
ACT-0041,01/08/2024,REP-002,ACC-034,OPP-013,Call,No Answer,Demo rescheduled.
ACT-0042,23/07/2024,REP-002,ACC-034,OPP-013,LinkedIn,,Multi-threaded — 3 contacts.
ACT-0043,08/08/2024,REP-003,ACC-036,OPP-014,Call,Meeting Booked,Budget discussion — CFO joining.
ACT-0044,20/06/2024,REP-003,ACC-036,OPP-014,Call,,
ACT-0045,2024-06-22,REP-003,ACC-036,OPP-014,Email,No Reply,POC requested.
ACT-0046,30/08/2024,REP-003,ACC-036,OPP-014,Demo,No Progress,Budget discussion — CFO joining.
ACT-0047,2025-07-14,REP-003,ACC-036,OPP-015,Email,Meeting Booked,
ACT-0048,2025-07-22,REP-003,ACC-036,OPP-015,Call,Connected,Budget discussion — CFO joining.
ACT-0049,2025-08-09,REP-003,ACC-036,OPP-015,Email,No Reply,Strong product interest.
ACT-0050,2024-08-01,REP-003,ACC-030,OPP-016,Meeting,No Show,Champion confirmed.
ACT-0051,06/08/2024,REP-003,ACC-030,OPP-016,Meeting,Demo Scheduled,Stakeholder change.
ACT-0052,2024-08-06,REP-003,ACC-030,OPP-016,Call,Connected,Multi-threaded — 3 contacts.
ACT-0053,2024-09-08,REP-003,ACC-036,OPP-017,Call,Meeting Booked,POC requested.
