opportunity_id,account_id,owner_id,stage_raw,stage_clean,arr_eur,demand_source_raw,demand_source_clean,close_date,created_date,forecast_category,close_probability_pct,closed_lost_reason,sales_cycle_days,created_at
OPP-001,ACC-030,REP-001,CLOSED WON,Closed Won,27000,AE Outbound,AE Outbound,2024-04-02,05/04/2024,Closed Won,100%,,1,2024-04-05 12:23
OPP-002,ACC-033,REP-001,Won,Closed Won,24000,AE outbound,AE Outbound,2025-10-30,2025-10-30,Closed Won,100%,,1,2025-10-30 11:55
OPP-003,ACC-036,REP-001,Closed Won,Closed Won,39000,SDR,SDR Outbound,28/01/2024,2024-01-13,Closed Won,100%,,15,2024-01-13 08:54
OPP-004,ACC-033,REP-001,Closed Lost,Closed Lost,40000,MKT,Marketing,07/03/2026,22/03/2026,Closed Lost,0%,Timing,1,2026-03-22 12:22
OPP-005,ACC-030,REP-001,Closed Lost,Closed Lost,34000,Inbound,Marketing,2024-04-14,20/04/2024,Closed Lost,0%,ND,1,2024-04-20 14:38
OPP-006,ACC-033,REP-001,Won,Closed Won,45000,Marketing,Marketing,14/09/2024,12/09/2024,Closed Won,100%,,2,2024-09-12 09:42
OPP-007,ACC-031,REP-001,Closed Lost,Closed Lost,124000,AE outbound,AE Outbound,2025-12-07,05/12/2025,Closed Lost,0%,timing,2,2025-12-05 18:47
OPP-008,ACC-036,REP-001,CL,Closed Lost,37000,Marketing,Marketing,2025-06-15,15/06/2025,Closed Lost,0%,timing,1,2025-06-15 10:42
OPP-009,ACC-031,REP-002,Closed Lost,Closed Lost,90000,Partner,Partnerships,2026-03-08,02/03/2026,Closed Lost,0%,Timing,6,2026-03-02 15:26
OPP-010,ACC-038,REP-002,Won,Closed Won,16000,SDR Outbound,SDR Outbound,2025-01-26,2025-01-06,Closed Won,100%,,20,2025-01-06 16:29
OPP-011,ACC-031,REP-002,CLOSED WON,Closed Won,119000,Partnerships,Partnerships,27/03/2025,2025-03-20,Closed Won,100%,,7,2025-03-20 16:27
OPP-012,ACC-038,REP-002,Won,Closed Won,9000,SDR,SDR Outbound,15/03/2025,2025-03-09,Closed Won,100%,,6,2025-03-09 09:45
OPP-013,ACC-034,REP-002,Won,Closed Won,14000,Marketing,Marketing,07/11/2024,23/11/2024,Closed Won,100%,,1,2024-11-23 09:26
OPP-014,ACC-036,REP-003,Closed Won,Closed Won,44000,AE Outbound,AE Outbound,16/02/2024,13/02/2024,Closed Won,100%,,3,2024-02-13 08:22
OPP-015,ACC-036,REP-003,Closed Lost,Closed Lost,52000,SDR Outbound,SDR Outbound,16/06/2025,2025-06-14,Closed Lost,0%,Pricing,2,2025-06-14 10:53
OPP-016,ACC-030,REP-003,Lost,Closed Lost,60000,MKT,Marketing,09/01/2025,02/01/2025,Closed Lost,0%,timing,7,2025-01-02 13:21
OPP-017,ACC-036,REP-003,Closed Lost,Closed Lost,48000,Inbound,Marketing,2024-09-25,2024-09-03,Closed Lost,0%,price,22,2024-09-03 11:53
OPP-018,ACC-033,REP-003,Lost,Closed Lost,25000,Sales Outbound,AE Outbound,2024-05-20,20/05/2024,Closed Lost,0%,price,1,2024-05-20 12:06
OPP-019,ACC-036,REP-003,Closed Lost,Closed Lost,30000,MKT,Marketing,10/01/2025,25/01/2025,Closed Lost,0%,product gap,1,2025-01-25 08:22
OPP-020,ACC-035,REP-004,CLOSED LOST,Closed Lost,49000,mktg,Marketing,24/01/2024,06/01/2024,Closed Lost,0%,Feature gap,18,2024-01-06 17:51
OPP-021,ACC-036,REP-004,CLOSED LOST,Closed Lost,35000,Marketing,Marketing,25/03/2026,08/03/2026,Closed Lost,0%,timing,17,2026-03-08 13:01
OPP-022,ACC-032,REP-004,CW,Closed Won,162000,Marketing,Marketing,2025-04-01,2025-04-18,Closed Won,100%,,1,2025-04-18 16:12
OPP-023,ACC-038,REP-005,Closed Lost,Closed Lost,17000,AE outbound,AE Outbound,08/06/2025,10/06/2025,Closed Lost,0%,Delayed,1,2025-06-10 18:37
OPP-024,ACC-035,REP-005,Lost,Closed Lost,53000,Inbound,Marketing,24/02/2025,04/02/2025,Closed Lost,0%,Lost to competitor,20,2025-02-04 11:13
OPP-025,ACC-034,REP-005,Closed Lost,Closed Lost,10000,Marketing,Marketing,05/04/2024,2024-04-18,Closed Lost,0%,No Decision,1,2024-04-18 08:35
OPP-026,ACC-038,REP-005,Closed Lost,Closed Lost,15000,Inbound,Marketing,09/04/2024,2024-04-02,Closed Lost,0%,Timing,7,2024-04-02 09:25
OPP-027,ACC-030,REP-005,Closed Won,Closed Won,54000,Partnerships,Partnerships,2024-05-25,18/05/2024,Closed Won,100%,,7,2024-05-18 14:38
OPP-028,ACC-038,REP-005,Closed Lost,Closed Lost,15000,Partnerships,Partnerships,24/03/2025,2025-03-31,Closed Lost,0%,price,1,2025-03-31 18:13
OPP-029,ACC-014,REP-006,Closed Lost,Closed Lost,28000,Marketing,Marketing,2024-06-10,08/06/2024,Closed Lost,0%,Stalled,2,2024-06-08 09:43
OPP-030,ACC-040,REP-006,Closed Lost,Closed Lost,144000,Partnerships,Partnerships,2026-02-21,08/02/2026,Closed Lost,0%,Lost to competitor,13,2026-02-08 09:03
OPP-031,ACC-017,REP-006,CL,Closed Lost,36000,Sales Outbound,AE Outbound,18/12/2025,17/12/2025,Closed Lost,0%,Timing,1,2025-12-17 14:47
OPP-032,ACC-013,REP-006,CW,Closed Won,146000,Partnerships,Partnerships,02/03/2024,19/03/2024,Closed Won,100%,,1,2024-03-19 10:30
OPP-033,ACC-017,REP-007,Closed Lost,Closed Lost,49000,Channel,Partnerships,06/02/2025,2025-02-28,Closed Lost,0%,Stalled,1,2025-02-28 12:42
OPP-034,ACC-016,REP-007,Closed Lost,Closed Lost,11000,Marketing,Marketing,28/03/2024,22/03/2024,Closed Lost,0%,Product Gap,6,2024-03-22 11:33
OPP-035,ACC-037,REP-007,CLOSED LOST,Closed Lost,31000,Marketing,Marketing,2025-03-01,04/03/2025,Closed Lost,0%,product gap,1,2025-03-04 10:19
OPP-036,ACC-013,REP-007,CL,Closed Lost,176000,MKT,Marketing,23/08/2024,2024-08-17,Closed Lost,0%,Stalled,6,2024-08-17 15:15
OPP-037,ACC-008,REP-008,Closed Lost,Closed Lost,26000,Channel,Partnerships,27/08/2025,2025-08-09,Closed Lost,0%,Too expensive,18,2025-08-09 17:37
OPP-038,ACC-010,REP-008,Lost,Closed Lost,39000,AE outbound,AE Outbound,08/06/2025,23/06/2025,Closed Lost,0%,Feature gap,1,2025-06-23 08:20
OPP-039,ACC-010,REP-008,Closed Lost,Closed Lost,59000,Partnerships,Partnerships,19/10/2025,2025-10-31,Closed Lost,0%,Stalled,1,2025-10-31 09:33
OPP-040,ACC-012,REP-008,CL,Closed Lost,16000,Partnerships,Partnerships,20/05/2024,11/05/2024,Closed Lost,0%,Delayed,9,2024-05-11 18:54
OPP-041,ACC-012,REP-008,Closed Lost,Closed Lost,13000,Partnerships,Partnerships,2025-11-22,21/11/2025,Closed Lost,0%,No Decision,1,2025-11-21 14:06
OPP-042,ACC-008,REP-008,CLOSED LOST,Closed Lost,19000,Inbound,Marketing,2025-11-08,2025-11-05,Closed Lost,0%,product gap,3,2025-11-05 10:10
OPP-043,ACC-011,REP-009,Closed Lost,Closed Lost,15000,Inbound,Marketing,26/10/2025,29/10/2025,Closed Lost,0%,Not now,1,2025-10-29 09:28
OPP-044,ACC-012,REP-009,CLOSED LOST,Closed Lost,13000,SDR Outbound,SDR Outbound,08/02/2025,04/02/2025,Closed Lost,0%,Delayed,4,2025-02-04 12:01
OPP-045,ACC-007,REP-009,CLOSED LOST,Closed Lost,159000,Partnerships,Partnerships,29/07/2025,2025-07-27,Closed Lost,0%,No decision,2,2025-07-27 17:51
OPP-046,ACC-012,REP-009,Closed Lost,Closed Lost,16000,SDR,SDR Outbound,2024-07-26,2024-07-10,Closed Lost,0%,Timing,16,2024-07-10 13:46
OPP-047,ACC-009,REP-009,CL,Closed Lost,8000,Inbound,Marketing,06/11/2024,2024-11-27,Closed Lost,0%,Stalled,1,2024-11-27 12:47
OPP-048,ACC-010,REP-009,Closed Won,Closed Won,32000,Channel,Partnerships,03/03/2024,2024-03-12,Closed Won,100%,,1,2024-03-12 14:00
OPP-049,ACC-020,REP-010,Closed Lost,Closed Lost,10000,Sales Outbound,AE Outbound,2025-10-16,08/10/2025,Closed Lost,0%,Too expensive,8,2025-10-08 17:14
OPP-050,ACC-039,REP-010,Closed Lost,Closed Lost,25000,Inbound,Marketing,08/10/2024,2024-10-04,Closed Lost,0%,Product Gap,4,2024-10-04 15:23
OPP-051,ACC-021,REP-010,Closed Won,Closed Won,49000,sdr outbound,SDR Outbound,2025-09-07,12/09/2025,Closed Won,100%,,1,2025-09-12 15:28
