event_id,event_month,account_id,rep_id,event_type,demand_source_raw,demand_source_clean,segment,market,arr_eur
EVT-0001,2024-01,ACC-013,REP-007,SQL,SDR,SDR Outbound,Enterprise,DE,144000
EVT-0002,2024-01,ACC-013,REP-006,Opportunity Created,SDR,SDR Outbound,Enterprise,DE,87300
EVT-0003,2024-01,ACC-008,REP-009,Lead Created,Marketing,Marketing,Mid-Market,SE,22400
EVT-0004,2024-01,ACC-011,REP-009,SQL,SDR Outbound,SDR Outbound,SMB,SE,15300
EVT-0005,2024-01,ACC-014,REP-006,Closed Won,Marketing,Marketing,Mid-Market,DE,19200
EVT-0006,2024-01,ACC-028,REP-016,Closed Lost,Marketing,Marketing,Mid-Market,ES,27200
EVT-0007,2024-01,ACC-017,REP-015,MQL,SDR Outbound,SDR Outbound,Mid-Market,DE,44100
EVT-0008,2024-01,ACC-028,REP-016,MQL,Inbound,Marketing,Mid-Market,ES,38400
EVT-0009,2024-02,ACC-040,REP-006,Lead Created,Marketing,Marketing,Enterprise,DE,79200
EVT-0010,2024-02,ACC-036,REP-002,MQL,sdr outbound,SDR Outbound,Mid-Market,UKI,36900
EVT-0011,2024-02,ACC-016,REP-007,MQL,sdr outbound,SDR Outbound,SMB,DE,8100
EVT-0012,2024-02,ACC-028,REP-013,SQL,SDR Outbound,SDR Outbound,Mid-Market,ES,20700
EVT-0013,2024-02,ACC-005,REP-012,Demo Completed,SDR,SDR Outbound,SMB,DK,10800
EVT-0014,2024-02,ACC-019,REP-011,MQL,SDR Outbound,SDR Outbound,Enterprise,NL,88200
EVT-0015,2024-02,ACC-022,REP-010,Closed Won,Marketing,Marketing,Mid-Market,NL,20000
EVT-0016,2024-02,ACC-002,REP-012,MQL,Partner,Partnerships,Enterprise,DK,91000
EVT-0017,2024-03,ACC-020,REP-011,Opportunity Created,MKT,Marketing,SMB,NL,13600
EVT-0018,2024-03,ACC-020,REP-011,Lead Created,Channel,Partnerships,SMB,NL,19600
EVT-0019,2024-03,ACC-022,REP-011,Demo Completed,AE Outbound,AE Outbound,Mid-Market,NL,25000
EVT-0020,2024-03,ACC-031,REP-003,Lead Created,AE Outbound,AE Outbound,Enterprise,UKI,171000
EVT-0021,2024-03,ACC-026,REP-016,MQL,AE outbound,AE Outbound,SMB,ES,15000
EVT-0022,2024-03,ACC-039,REP-011,Lead Created,AE Outbound,AE Outbound,Mid-Market,NL,20000
EVT-0023,2024-03,ACC-026,REP-014,Demo Completed,Marketing,Marketing,SMB,ES,8800
EVT-0024,2024-03,ACC-040,REP-015,Demo Completed,Inbound,Marketing,Enterprise,DE,117600
EVT-0025,2024-03,ACC-026,REP-014,Demo Completed,Marketing,Marketing,SMB,ES,8000
EVT-0026,2024-03,ACC-014,REP-007,SQL,SDR Outbound,SDR Outbound,Mid-Market,DE,44100
EVT-0027,2024-04,ACC-034,REP-005,Demo Completed,SDR,SDR Outbound,SMB,UKI,10800
EVT-0028,2024-04,ACC-002,REP-012,Demo Completed,Marketing,Marketing,Enterprise,DK,133600
EVT-0029,2024-04,ACC-012,REP-008,Lead Created,Marketing,Marketing,SMB,SE,8000
EVT-0030,2024-04,ACC-023,REP-013,MQL,Marketing,Marketing,Enterprise,ES,85600
EVT-0031,2024-04,ACC-022,REP-011,MQL,AE outbound,AE Outbound,Mid-Market,NL,40000
EVT-0032,2024-04,ACC-007,REP-009,Closed Won,Marketing,Marketing,Enterprise,SE,52800
EVT-0033,2024-04,ACC-024,REP-016,SQL,MKT,Marketing,Mid-Market,ES,24800
EVT-0034,2024-04,ACC-023,REP-014,MQL,Marketing,Marketing,Enterprise,ES,140800
EVT-0035,2024-04,ACC-011,REP-009,Lead Created,MKT,Marketing,SMB,SE,13600
EVT-0036,2024-04,ACC-010,REP-009,Opportunity Created,Channel,Partnerships,Mid-Market,SE,43400
EVT-0037,2024-04,ACC-018,REP-010,Opportunity Created,AE outbound,AE Outbound,Mid-Market,NL,50000
EVT-0038,2024-05,ACC-013,REP-007,SQL,AE Outbound,AE Outbound,Enterprise,DE,95000
EVT-0039,2024-05,ACC-002,REP-012,Demo Completed,Sales Outbound,AE Outbound,Enterprise,DK,175000
EVT-0040,2024-05,ACC-025,REP-016,Demo Completed,mktg,Marketing,SMB,ES,6400
EVT-0041,2024-05,ACC-016,REP-007,Opportunity Created,sdr outbound,SDR Outbound,SMB,DE,15300
EVT-0042,2024-05,ACC-012,REP-008,Opportunity Created,MKT,Marketing,SMB,SE,12800
EVT-0043,2024-05,ACC-020,REP-010,Demo Completed,Sales Outbound,AE Outbound,SMB,NL,16000
EVT-0044,2024-05,ACC-006,REP-012,Lead Created,SDR Outbound,SDR Outbound,Mid-Market,DK,47700
EVT-0045,2024-05,ACC-023,REP-013,Lead Created,sdr outbound,SDR Outbound,Enterprise,ES,94500
EVT-0046,2024-05,ACC-009,REP-009,Demo Completed,Inbound,Marketing,SMB,SE,10400
EVT-0047,2024-06,ACC-038,REP-002,Demo Completed,AE Outbound,AE Outbound,SMB,UKI,14000
EVT-0048,2024-06,ACC-032,REP-002,Opportunity Created,mktg,Marketing,Enterprise,UKI,68000
EVT-0049,2024-06,ACC-003,REP-012,Closed Lost,mktg,Marketing,Mid-Market,DK,18400
EVT-0050,2024-06,ACC-023,REP-013,SQL,AE Outbound,AE Outbound,Enterprise,ES,117000
EVT-0051,2024-06,ACC-004,REP-012,Opportunity Created,Marketing,Marketing,SMB,DK,6400
EVT-0052,2024-06,ACC-013,REP-006,SQL,AE outbound,AE Outbound,Enterprise,DE,128000
EVT-0053,2024-06,ACC-011,REP-008,MQL,Marketing,Marketing,SMB,SE,4800
EVT-0054,2024-07,ACC-008,REP-008,Lead Created,Sales Outbound,AE Outbound,Mid-Market,SE,42000
EVT-0055,2024-07,ACC-034,REP-003,MQL,AE Outbound,AE Outbound,SMB,UKI,13000
EVT-0056,2024-07,ACC-010,REP-009,SQL,SDR,SDR Outbound,Mid-Market,SE,27000
EVT-0057,2024-07,ACC-002,REP-012,Closed Won,Marketing,Marketing,Enterprise,DK,69600
EVT-0058,2024-07,ACC-012,REP-008,SQL,SDR Outbound,SDR Outbound,SMB,SE,10800
EVT-0059,2024-07,ACC-018,REP-010,Lead Created,SDR Outbound,SDR Outbound,Mid-Market,NL,53100
EVT-0060,2024-07,ACC-016,REP-006,Lead Created,SDR Outbound,SDR Outbound,SMB,DE,12600
EVT-0061,2024-08,ACC-010,REP-008,Lead Created,AE Outbound,AE Outbound,Mid-Market,SE,60000
EVT-0062,2024-08,ACC-031,REP-003,SQL,AE outbound,AE Outbound,Enterprise,UKI,74000
EVT-0063,2024-08,ACC-019,REP-011,SQL,sdr outbound,SDR Outbound,Enterprise,NL,135000
EVT-0064,2024-08,ACC-026,REP-014,Lead Created,AE OB,AE Outbound,SMB,ES,9000
EVT-0065,2024-08,ACC-026,REP-013,Opportunity Created,Marketing,Marketing,SMB,ES,5600
EVT-0066,2024-08,ACC-024,REP-014,Lead Created,sdr outbound,SDR Outbound,Mid-Market,ES,32400
EVT-0067,2024-08,ACC-009,REP-009,Lead Created,Marketing,Marketing,SMB,SE,9600
EVT-0068,2024-08,ACC-032,REP-002,Lead Created,SDR Outbound,SDR Outbound,Enterprise,UKI,91800
EVT-0069,2024-08,ACC-009,REP-008,MQL,Marketing,Marketing,SMB,SE,5600
EVT-0070,2024-09,ACC-037,REP-006,MQL,AE outbound,AE Outbound,Mid-Market,DE,25000
EVT-0071,2024-09,ACC-036,REP-005,Opportunity Created,MKT,Marketing,Mid-Market,UKI,38400
EVT-0072,2024-09,ACC-040,REP-007,Opportunity Created,SDR Outbound,SDR Outbound,Enterprise,DE,124200
