snapshot_month,opportunity_id,stage_at_snapshot,arr_at_snapshot,forecast_cat_at_snapshot,close_date_at_snapshot,stage_age_days,next_step_date,owner_id
2026-02,OPP-083,Discovery,58000,Pipeline,2026-05-31,51,08/02/2026,REP-001
2026-03,OPP-083,Discovery,58000,Pipeline,2026-05-31,79,19/03/2026,REP-001
2026-04,OPP-083,Discovery,58000,Pipeline,2026-05-31,107,10/04/2026,REP-001
2026-05,OPP-083,Initial Meeting,58000,Pipeline,2026-05-31,8,,REP-001
2026-04,OPP-084,Evaluation,40000,Best Case,2026-07-01,38,2026-04-18,REP-002
2026-05,OPP-084,Evaluation,40000,Best Case,2026-08-01,66,2026-05-09,REP-002
2026-02,OPP-085,Evaluation,6000,Best Case,2026-08-01,57,,REP-002
2026-03,OPP-085,Evaluation,6000,Best Case,2026-08-01,85,2026-03-07,REP-002
2026-04,OPP-085,Evaluation,6000,Best Case,2026-08-01,113,10/04/2026,REP-002
2026-05,OPP-085,Negotiation,6000,Best Case,2026-08-01,11,2026-05-16,REP-002
2026-02,OPP-086,Contracting,59000,Committed,2026-07-01,42,2026-02-07,REP-002
2026-03,OPP-086,Contracting,59000,Committed,2026-07-01,70,18/03/2026,REP-002
2026-04,OPP-086,Contract,59000,Committed,2026-07-01,98,13/04/2026,REP-002
2026-05,OPP-086,Contracting,59000,Committed,2026-07-01,126,10/05/2026,REP-002
2026-02,OPP-087,Biz Val,29000,Pipeline,2026-06-24,44,2026-02-17,REP-003
2026-03,OPP-087,Business Validation,29000,Pipeline,2026-06-24,72,,REP-003
2026-04,OPP-087,Evaluation,29000,Best Case,2026-06-24,11,16/04/2026,REP-003
2026-05,OPP-087,Eval,29000,Best Case,2026-06-24,39,2026-05-21,REP-003
2026-03,OPP-088,BV,70000,Pipeline,2026-07-01,50,,REP-003
2026-04,OPP-088,BV,70000,Pipeline,2026-08-01,78,21/04/2026,REP-003
2026-05,OPP-088,Bus. Validation,70000,Pipeline,2026-09-01,106,06/05/2026,REP-003
2026-02,OPP-089,Negotiation,57000,Best Case,2026-06-21,56,,REP-003
2026-03,OPP-089,Negotiation,57000,Best Case,2026-06-21,84,16/03/2026,REP-003
2026-04,OPP-089,Contracting,57000,Committed,2026-06-21,12,2026-04-17,REP-003
2026-05,OPP-089,Contracting,57000,Committed,2026-07-01,40,2026-05-07,REP-003
2026-02,OPP-090,Qualified,6000,Pipeline,2026-07-01,68,,REP-004
2026-03,OPP-090,Qualified,6000,Pipeline,2026-07-01,96,,REP-004
2026-04,OPP-090,Qualified,6000,Pipeline,2026-07-01,124,2026-04-21,REP-004
2026-05,OPP-090,Qualified,6000,Pipeline,2026-07-01,152,,REP-004
2026-03,OPP-091,Bus. Validation,18000,Pipeline,2026-06-05,54,2026-03-11,REP-004
2026-04,OPP-091,Business Validation,18000,Pipeline,2026-06-05,82,14/04/2026,REP-004
2026-05,OPP-091,Evaluation,18000,Best Case,2026-07-01,9,,REP-004
2026-03,OPP-092,Disc,54000,Pipeline,2026-06-06,58,,REP-005
2026-04,OPP-092,0a Discovery,53000,Pipeline,2026-06-06,86,,REP-005
2026-05,OPP-092,Discovery,53000,Pipeline,2026-06-06,114,2026-05-07,REP-005
2026-02,OPP-093,0a Discovery,8000,Pipeline,2026-07-01,65,,REP-005
2026-03,OPP-093,Initial Mtg,8000,Pipeline,2026-07-01,11,2026-03-06,REP-005
2026-04,OPP-093,Qual,8000,Pipeline,2026-07-01,6,18/04/2026,REP-005
2026-05,OPP-093,Business Validation,8000,Pipeline,2026-07-01,13,2026-05-07,REP-005
2026-02,OPP-094,Qualified,161000,Pipeline,2026-07-01,48,2026-02-16,REP-005
2026-03,OPP-094,QUALIFY,161000,Pipeline,2026-08-01,76,2026-03-18,REP-005
2026-04,OPP-094,Business Validation,161000,Pipeline,2026-08-01,13,10/04/2026,REP-005
2026-05,OPP-094,Business Validation,161000,Pipeline,2026-08-01,41,2026-05-14,REP-005
2026-02,OPP-095,Evaluation,57000,Best Case,2026-06-22,43,2026-02-09,REP-006
2026-03,OPP-095,Evaluation,57000,Best Case,2026-06-22,71,06/03/2026,REP-006
2026-04,OPP-095,Neg,56000,Best Case,2026-06-22,10,,REP-006
2026-05,OPP-095,Negotiation,57000,Best Case,2026-06-22,38,,REP-006
2026-03,OPP-096,Evaluation,22000,Best Case,2026-07-10,47,,REP-006
2026-04,OPP-096,Evaluation,22000,Best Case,2026-07-10,75,,REP-006
2026-05,OPP-096,Negotiate,22000,Best Case,2026-07-10,7,20/05/2026,REP-006
2026-03,OPP-097,Contracting,21000,Committed,2026-07-01,42,21/03/2026,REP-006
2026-04,OPP-097,Contracting,21000,Committed,2026-07-01,70,13/04/2026,REP-006
2026-05,OPP-097,Contract,20000,Committed,2026-07-01,98,06/05/2026,REP-006
2026-03,OPP-098,Contracting,58000,Committed,2026-07-22,52,,REP-006
2026-04,OPP-098,Contracting,58000,Committed,2026-07-22,80,,REP-006
2026-05,OPP-098,CTR,58000,Committed,2026-07-22,108,18/05/2026,REP-006
2026-02,OPP-099,NEGOTIATE,56000,Best Case,2026-07-01,60,2026-02-08,REP-006
2026-03,OPP-099,Negotiation,56000,Best Case,2026-07-01,88,18/03/2026,REP-006
